district,week_start_date,rainfall_mm,rainfall_cumsum_7d,rainfall_cumsum_14d,rainfall_har_daily,rainfall_har_weekly,rainfall_har_monthly,wavelet_approx,wavelet_detail_1,wavelet_detail_2,wavelet_detail_3,temperature_c,humidity_pct,wind_speed_kmph,cyclone_wind_kmph,storm_surge_m,river_gauge_level_m,gauge_above_flood_stage,gauge_rate_of_change,ndvi,soil_moisture_pct,land_surface_temp_c,event_severity,sachet_alert_issued,affected_population,target_water_liters_demand,target_kits_demand,target_ors_units_demand,target_tarpaulin_units_demand,target_medical_kits_demand,past_incident_count_7d,past_incident_count_30d,population,population_density,area_sqkm,road_density_km_per_sqkm,dist_to_coast_km,dist_to_river_km,avg_elevation_m,flood_stage_m,coastal_district,latitude,longitude
Balasore,2009-12-28,0.84,,,0.125,,,0.16,0.09833333333333333,-0.028333333333333335,0.05000000000000001,22.22,51.9,17.4,0.0,0.0,2.8633333333333333,0,-0.020000000000000018,0.32233333333333336,23.333333333333332,24.55333333333333,0,0,0,0,0,0,0,0,0.0,0.0,2320529,609.7,3806,0.95,3.0,3.5,8,5.2,1,21.4942,86.9317
Balasore,2010-01-04,0.79,0.79,,0.19714285714285712,0.1757142857142857,,0.17071428571428574,-0.04214285714285714,0.021428571428571432,-0.037142857142857144,22.95,52.5,20.5,0.0,0.0,2.89,0,-0.0057142857142857195,0.30414285714285716,16.657142857142855,25.231428571428573,0,0,0,0,0,0,0,0,0.0,0.0,2320529,609.7,3806,0.95,3.0,3.5,8,5.2,1,21.4942,86.9317
Balasore,2010-01-11,1.23,1.23,2.02,0.1757142857142857,0.13755102040816328,,0.21285714285714286,0.0,-0.060714285714285714,0.023571428571428573,23.527142857142856,53.785714285714285,15.8,0.0,0.0,2.8971428571428572,0,0.029999999999999995,0.26599999999999996,10.299999999999999,26.024285714285718,0,0,0,0,0,0,0,0,0.0,0.0,2320529,609.7,3806,0.95,3.0,3.5,8,5.2,1,21.4942,86.9317
Balasore,2010-01-18,2.44,2.44,3.67,0.3471428571428571,0.2983673469387755,,0.305,0.0,0.05142857142857143,-0.007857142857142858,24.868571428571425,51.17142857142857,19.4,0.0,0.0,2.9057142857142857,0,-0.017142857142857158,0.25142857142857145,6.871428571428572,27.04,0,0,0,0,0,0,0,0,0.0,0.0,2320529,609.7,3806,0.95,3.0,3.5,8,5.2,1,21.4942,86.9317
Balasore,2010-01-25,2.68,2.68,5.119999999999999,0.3842857142857143,0.4126530612244898,0.26599999999999996,0.335,0.0,0.010714285714285714,0.037142857142857144,26.197142857142858,52.98571428571428,13.0,0.0,0.0,2.9014285714285712,0,0.0028571428571428597,0.24042857142857144,5.2,28.937142857142856,0,0,0,0,0,0,0,0,0.0,0.0,2320529,609.7,3806,0.95,3.0,3.5,8,5.2,1,21.4942,86.9317
Balasore,2010-02-01,1.2799999999999998,1.2800000000000002,3.96,0.18285714285714283,0.20489795918367348,0.2572857142857143,0.2246,0.0,-0.037142857142857144,-0.00465714285714286,27.194285714285716,48.55714285714286,16.5,0.0,0.0,2.924285714285714,0,-0.0014285714285713982,0.22157142857142856,5.0,29.375714285714285,0,0,0,0,0,0,0,0,0.0,0.0,2320529,609.7,3806,0.95,3.0,3.5,8,5.2,1,21.4942,86.9317
Balasore,2010-02-08,3.13,3.13,4.41,0.2814285714285714,0.21877551020408165,0.27814285714285714,0.4133428571428571,0.08285714285714285,0.02464285714285714,-0.07371428571428572,27.48857142857143,51.142857142857146,17.9,0.0,0.0,2.8985714285714286,0,0.0071428571428571175,0.20042857142857143,5.0,29.08142857142857,0,0,0,0,0,0,0,0,0.0,0.0,2320529,609.7,3806,0.95,3.0,3.5,8,5.2,1,21.4942,86.9317
Balasore,2010-02-15,2.54,2.54,5.67,0.4185714285714286,0.45755102040816326,0.3250476190476191,0.4598,-0.08285714285714285,0.0017857142857142874,-0.01591428571428572,28.872857142857146,45.44285714285714,20.4,0.0,0.0,2.93,0,0.0042857142857143215,0.21471428571428572,5.0,31.32428571428571,0,0,0,0,0,0,0,0,0.0,0.0,2320529,609.7,3806,0.95,3.0,3.5,8,5.2,1,21.4942,86.9317
Balasore,2010-02-22,3.98,3.9800000000000004,6.5200000000000005,0.5071428571428572,0.4451020408163266,0.3350952380952381,0.48607142857142854,0.06785714285714285,-0.028571428571428574,0.04321428571428571,30.074285714285715,41.94285714285714,15.4,0.0,0.0,2.915714285714286,0,-0.0042857142857143215,0.17971428571428572,5.0,32.33714285714286,0,0,0,0,0,0,0,0,0.0,0.0,2320529,609.7,3806,0.95,3.0,3.5,8,5.2,1,21.4942,86.9317
Balasore,2010-03-01,4.91,4.91,8.89,0.7685714285714286,0.6244897959183674,0.41957142857142854,0.7303571428571429,-0.06785714285714285,0.06857142857142857,-0.02964285714285714,30.647142857142857,46.542857142857144,20.0,0.0,0.0,2.9171428571428573,0,0.0,0.20457142857142857,5.0,32.71857142857142,0,0,0,0,0,0,0,0,0.0,0.0,2320529,609.7,3806,0.95,3.0,3.5,8,5.2,1,21.4942,86.9317
Balasore,2010-03-08,7.0,7.0,11.91,1.1042857142857143,0.9846938775510204,0.6027142857142856,1.1775,-0.016428571428571428,-0.15107142857142858,-0.01,31.101428571428574,48.34285714285714,14.4,0.0,0.0,2.9957142857142856,0,0.008571428571428579,0.21628571428571428,5.0,33.56428571428571,0,0,0,0,0,0,0,0,0.0,0.0,2320529,609.7,3806,0.95,3.0,3.5,8,5.2,1,21.4942,86.9317
Balasore,2010-03-15,10.14,10.14,17.14,0.9757142857142858,0.8616326530612246,0.7080952380952381,1.2675,0.016428571428571428,0.11107142857142858,0.05357142857142857,33.83857142857143,44.32857142857143,12.9,0.0,0.0,3.0471428571428567,0,0.021428571428571415,0.21657142857142858,5.042857142857143,36.38285714285714,0,0,0,0,0,0,0,0,0.0,0.0,2320529,609.7,3806,0.95,3.0,3.5,8,5.2,1,21.4942,86.9317
Balasore,2010-03-22,8.0,8.0,18.14,1.3042857142857145,1.5638775510204082,0.9775714285714285,1.315,-0.02428571428571429,-0.1407142857142857,-0.0071428571428571435,33.89857142857143,46.48571428571428,23.2,0.0,0.0,3.085714285714286,0,-0.011428571428571439,0.23557142857142857,5.471428571428571,35.85285714285714,0,0,0,0,0,0,0,0,0.0,0.0,2320529,609.7,3806,0.95,3.0,3.5,8,5.2,1,21.4942,86.9317
Balasore,2010-03-29,9.81,9.81,17.81,1.7128571428571429,1.4946938775510203,1.188238095238095,1.0438857142857143,0.024285714285714275,0.1142857142857143,0.2189142857142857,33.68142857142857,45.714285714285715,25.1,0.0,0.0,3.087142857142857,0,-0.004285714285714258,0.23142857142857146,6.357142857142857,36.74,0,0,0,0,0,0,0,0,0.0,0.0,2320529,609.7,3806,0.95,3.0,3.5,8,5.2,1,21.4942,86.9317
Balasore,2010-04-05,14.83,14.829999999999998,24.64,1.8071428571428572,0.8806122448979592,1.201285714285714,1.7335571428571426,0.12714285714285714,0.058214285714285725,0.19965714285714284,34.847142857142856,51.728571428571435,20.2,0.0,0.0,3.067142857142857,0,0.015714285714285698,0.255,6.028571428571429,37.029999999999994,0,0,0,0,0,0,0,0,0.0,0.0,2320529,609.7,3806,0.95,3.0,3.5,8,5.2,1,21.4942,86.9317
